id;session_title;session_description;session_video;session_duration;session_order;session_resource;is_preview;is_draft;is_approved;is_published;course_section_id
1;depositXXX;synthesizing;value-added Gloves Islands,;2022-01-25T22:12:44;50528;Applications Madagascar;false;true;false;false;1
2;Shilling violet deposit;Kyrgyz azure;Metal Checking;2022-01-25T20:37:48;7999;limeXXXXXX;true;false;true;false;2
3;BrandXXXXX;redundant blue;MissionXXX;2022-01-26T09:07:52;56311;North Metal algorithm;false;false;true;false;3
4;and Supervisor;Movies Reactive;Missouri Chair;2022-01-26T03:21:20;61249;EcuadorXXX;false;true;false;true;4
5;UnbrandedX;bluetooth integrated Avon;connectXXX;2022-01-25T20:25:19;71306;FantasticX;true;false;true;true;5
6;Tuna Solutions;Books Metal Michigan;Canyon grey;2022-01-26T05:56:23;22131;Rustic Unbranded Ergonomic;false;false;true;false;6
7;card payment Salad;Public-key;Music systems;2022-01-26T02:48:14;49031;grow productize;true;true;false;false;7
8;Multi-lateral facilitate Automotive;Account Pass Soft;Oregon compelling hacking;2022-01-25T18:02:35;80637;real-time Generic;true;true;false;true;8
9;communities Monitored;Fresh Small SMS;Developer withdrawal;2022-01-26T08:29:54;91496;Forward Pound Electronics;false;true;false;true;9
10;architecture;calculate Practical;Loan Cotton;2022-01-25T22:21:02;65124;Object-based capacitor;false;true;true;false;10
