id;assignment_title;assignment_description;assignment_order;assignment_resource;is_preview;is_draft;is_approved;is_published;course_session_id
1;XML ChairX;VirginiaXX;87254;quantifying Taka leading-edge;true;false;false;true;1
2;Avon Strategist foreground;granular Port;23829;Frozen connecting;false;false;true;true;2
3;granular Seychelles;Soft Savings payment;88788;Functionality Compatible;false;false;true;true;3
4;SSL visualize;Auto Garden;1823;optical Account optical;true;true;true;false;4
5;strategize tan International;Fresh Generic;29373;Greece channels;false;true;true;true;5
6;SMTP Engineer Principal;Bedfordshire;99729;AlleyXXXXX;false;true;false;true;6
7;AccountXXX;ChickenXXX;27884;deliverables aggregate Balanced;true;true;true;false;7
8;Borders Executive Gorgeous;e-commerce synergies;6508;JBODXXXXXX;false;true;false;false;8
9;Computers sky Investment;Avon Principe;84311;connectXXX;false;true;false;true;9
10;frameXXXXX;Garden Intelligent;84885;RefinedXXX;false;true;true;false;10
